    TIME              DATE               BHP         BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      BHP      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      OPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR      WPR     FOPR     FOPT     FWPR     FWPT     FWIR      FWIT   
         270       9/28/1998                  -999     -999     -999     -999   143.74     -999     -999     -999     -999   125.29   148.69   150.18   150.72   138.01   127.81   147.80   145.89   156.50     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     0.00     0.00     0.00     0.00   321.97     0.00     0.00     0.00     0.00   311.98   317.13   308.40   315.49   320.45   309.45   316.29   323.82   315.62     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     6.44    14.70     0.00     0.00     0.00     0.00     0.00   2871.9   425738     13.1     1040      0.0         0
         300       10/28/1998                 -999     -999     -999     -999   143.20     -999     -999     -999     -999   123.90   147.94   148.00   149.65   136.40   126.14   147.00   145.84   146.97   153.65     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     0.00     0.00     0.00     0.00   317.22     0.00     0.00     0.00     0.00   321.63   323.39   318.19   312.81   310.36   305.72   311.09   317.17   315.62   318.95     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    22.51     0.00     0.00     0.00     0.00     0.00   3160.6   520556     21.1     1675      0.0         0
         330       11/27/1998                 -999     -999     -999     -999   142.17     -999     -999     -999     -999   123.17   148.35   147.29   148.78   134.19   124.62   144.59   144.35   145.68   146.94   154.11     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999     0.00     0.00     0.00     0.00   312.62     0.00     0.00     0.00     0.00   327.55   308.48   318.08   320.11   310.98   308.70   321.29   314.89   301.27   318.95   323.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     1.36     0.00     0.00     0.00     0.00     0.00   3472.2   624721     22.5     2350      0.0         0
         360       12/27/1998               145.90     -999     -999     -999   138.98     -999     -999     -999     -999   122.06   146.67   145.66   146.79   132.85   121.97   142.72   142.44   143.00   145.78   146.69     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999   319.48     0.00     0.00     0.00   316.42     0.00     0.00     0.00     0.00   315.81   320.28   320.66   315.76   307.98   309.72   317.58   324.38   303.73   316.16   323.01     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    10.35     0.00     0.00     0.00     0.00     0.00   3785.9   738299      1.4     2391      0.0         0
         390       1/26/1999                139.39   146.31     -999     -999   138.39     -999     -999     -999     -999   121.41   145.48   144.55   146.44   131.61   119.89   141.27   142.11   142.00   143.69   144.97     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999   319.48   320.53     0.00     0.00   316.88     0.00     0.00     0.00     0.00   313.80   315.62   318.52   317.14   310.41   309.91   323.21   317.68   314.57   307.93   315.15     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    14.03     0.00     0.00     0.00     0.00     0.00   4111.0   861628     10.4     2701      0.0         0
         420       2/25/1999                136.77   141.62   143.18     -999   137.84     -999     -999     -999     -999   120.23   144.48   143.22   144.61   130.28   117.49   140.02   139.26   140.41   141.68   142.32     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999   317.40   320.53   315.05     0.00   318.48     0.00     0.00     0.00     0.00   315.90   313.47   317.75   317.84   312.99   295.58   318.27   321.60   311.78   321.88   306.15     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     8.94     0.00     0.00     0.00     0.00     0.00   4420.8   994253     14.0     3122      0.0         0
         450       3/27/1999                134.29   140.44   135.06   138.10   136.08     -999     -999     -999     -999   118.66   142.67   140.95   142.59   128.36   112.77   136.33   136.99   139.41   140.30   141.87     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999   319.23   327.10   315.05   324.11   309.29     0.00     0.00     0.00     0.00   323.77   318.83   319.90   317.38   310.67   304.03   320.11   319.47   320.51   314.81   311.32     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    24.32     0.00     0.00     0.00     0.00     0.00   4724.7  1135990      8.9     3390      0.0         0
         480       4/26/1999                129.19   139.31   133.57   131.00   133.46   144.73     -999     -999     -999   116.97   140.17   137.89   141.00   126.95   108.88   133.43   133.91   137.45   138.68   140.31     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999   321.01   311.57   324.85   324.11   316.84   319.92     0.00     0.00     0.00   315.32   314.70   304.78   319.16   316.19   295.64   317.12   317.85   313.30   319.81   315.23     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     3.83     0.00     0.00    17.23     0.00     0.00     0.00     0.00     0.00   5075.6  1288260     24.3     4120      0.0         0
         510       5/26/1999                127.29   137.88   130.21   127.63   131.96   136.13   138.52     -999     -999   114.89   140.07   137.83   140.74   125.01   105.37   130.89   131.87   134.86   134.81   138.30     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999   323.09   317.79   320.37   312.84   312.27   319.92   315.54     0.00     0.00   323.99   318.10   304.35   318.02   313.38   293.57   313.33   318.91   312.54   317.40   304.29     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    11.48     0.00     0.00    28.04     0.00     0.00     0.00     0.00     0.00   5367.4  1449280     21.1     4752      0.0         0
         540       6/25/1999                123.86   136.22   126.22   124.50   129.62   133.30   128.40   133.23     -999   113.28   137.93   135.78   138.30   124.09   101.09   128.08   129.08   132.72   133.48   136.19     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999   321.61   319.59   326.52   318.07   314.54   317.17   315.54   308.72     0.00   318.15   326.26   311.29   318.84   311.62   280.02   307.64   316.13   313.77   311.42   314.16     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    20.99     0.00     0.00    35.75     0.00     0.00     0.00     0.00     9.89   5659.7  1619070     39.5     5937      0.0         0
         570       7/25/1999                119.48   133.81   122.53   120.59   127.82   130.84   123.62   125.02   140.29   112.06   136.36   134.99   137.51   122.09    97.75   124.36   126.38   130.83   130.33   134.04     -999     -999     -999     -999     -999     -999     -999     -999     -999     -999   329.76   320.27   323.42   320.95   313.41   312.75   317.84   308.72   208.17   310.73   324.96   285.55   310.56   316.84   279.06   315.80   317.27   307.15   311.15   300.10     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    26.95     0.00     0.00    49.85     0.00     0.00     0.00     0.00     8.44   5971.1  1798210     66.6     7936      0.0         0
         600       8/24/1999                116.19   132.60   118.51   117.12   126.70   127.23   121.07   121.47    49.48   110.66   135.17   131.73   134.54   119.11    93.67   120.42   122.88   128.08   128.21   132.08   147.27     -999     -999     -999     -999     -999     -999     -999     -999     -999   321.46   316.33   314.42   314.82   316.19   321.67   312.98   321.28   145.87   312.85   325.00   284.88   320.84   314.55   277.29   316.90   320.76   325.13   327.71   299.77     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    30.95     0.00     0.00    42.34     0.00     0.00     0.00     0.00    20.21   6091.3  1981890     80.2    10332      0.0         0
         630       9/23/1999                113.08   130.71   116.85   113.50   124.11   125.17   118.72   119.13    51.09   106.57   133.09   131.09   133.47   117.51    91.17   117.90   120.66   126.35   125.93   130.43   147.05   148.82     -999     -999     -999     -999     -999     -999     -999     -999   316.64   309.67   323.65   321.19   315.92   311.90   306.73   310.95   127.72   322.69   312.97   281.27   319.43   319.87   271.38   319.95   322.04   319.52   310.29   295.07     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    30.57     0.00     6.34    54.04     0.00     0.00     0.00     0.00    18.90   6110.7  2165220     93.5    13137    635.9         0
         660       10/23/1999               110.39   128.36   112.74   112.22   122.41   124.25   116.60   114.74    50.55   106.09   130.70   128.90   130.77   116.35    88.57   115.52   119.16   123.71   124.30   128.81   146.01   149.16   147.08     -999     -999     -999     -999     -999     -999     -999   312.08   321.79   311.89   312.96   321.94   315.98   315.22   321.41   125.88   307.72   320.43   277.16   313.97   304.02   260.51   316.17   311.79   315.71   314.35   284.51     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    50.44     0.00     1.10    65.95     0.00     0.00     0.00     0.00    31.79   6038.9  2346380    109.9    16433   1271.8     38155
         690       11/22/1999               107.75   127.73   111.28   108.76   121.78   122.91   113.77   113.04    49.78   104.03   129.70   127.04   129.11   114.28    86.57   112.53   117.21   123.35   123.11   127.86   145.17   148.91   148.00   143.81     -999     -999     -999     -999     -999     -999   316.42   319.64   322.78   305.65   312.32   321.87   311.71   320.23   118.47   307.22   319.20   256.82   319.23   309.49   260.32   308.89   320.39   311.96   319.67   286.38     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    48.75     0.00     4.29    65.22     0.00     0.00     0.00     0.00    34.23   5985.5  2525950    149.3    20911   1907.8     95388
         720       12/22/1999               105.78   126.03   109.51   106.88   120.58   122.12   112.85   111.33    50.43   104.24   127.79   125.38   128.32   112.39    84.69   110.78   114.73   122.46   121.88   127.02   144.12   147.90   147.15   144.19   142.89     -999     -999     -999     -999     -999   326.37   314.88   309.52   314.18   318.57   321.95   316.38   324.44   116.80   318.61   313.29   255.29   326.38   307.73   248.63   321.90   318.43   312.82   310.13   273.99     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    48.58     0.00     2.16    71.68     0.00     0.00     4.03     0.00    43.61   5968.7  2705010    152.5    25486   2543.7    171698
         750       1/21/2000                103.44   123.93   107.30   103.96   119.71   120.54   111.69   109.26    50.32   101.96   126.95   124.82   127.11   110.46    82.41   109.21   113.50   120.41   121.57   127.23   143.37   147.36   146.62   144.52   143.98   140.51     -999     -999     -999     -999   316.44   319.98   319.02   329.47   309.64   320.00   328.69   316.47    94.96   317.07   316.91   258.74   316.76   306.28   233.10   307.12   316.73   308.49   318.80   268.46     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00     0.00    64.38     8.73     0.15    83.46     0.00     0.00     7.69     0.00    55.13   5970.3  2884110    170.1    30588   3179.6    267086
         780       2/20/2000                100.79   122.99   106.34   102.23   118.50   119.66   108.49   108.64    51.14   100.75   126.07   122.70   125.91   111.42    81.07   107.07   113.41   119.47   119.87   125.14   142.08   147.02   146.23   143.15   143.49   141.14   140.93     -999     -999     -999   310.46   317.99   321.10   315.74   315.03   312.47   314.96   320.45   102.89   314.77   317.18   244.89   312.50   310.19   223.90   323.51   308.54   299.66   320.33   271.75     0.00     0.00     0.00     0.00     8.73     0.00     0.00     0.00     0.00     0.00     0.00    71.44     7.27     6.03    79.54     0.00     0.00    18.90     0.00    49.52   5923.1  3061810    219.5    37174   3815.5    381552
         810       3/21/2000                 99.67   123.23   105.35   100.38   118.09   119.11   108.40   106.88    49.83   100.28   125.31   123.80   125.46   109.63    80.00   105.84   112.09   118.59   120.23   126.61   141.56   146.20   145.61   143.32   142.99   141.68   141.63   140.60     -999     -999   319.68   313.99   316.29   314.37   307.84   321.09   313.53   322.86   107.20   317.35   324.65   249.80   305.46   306.82   234.53   313.63   310.91   301.63   312.48   251.67     0.00     0.00     0.00     0.00     8.97     0.00     0.00     0.00     0.00     0.00     0.00    75.82    16.90     2.86    98.43     0.00     0.00    22.38     0.00    60.30   5878.3  3238160    241.4    44417   4451.4    515095
         840       4/20/2000                 98.46   123.36   104.51    99.21   116.34   117.70   107.83   105.24    50.29    99.33   125.13   123.38   125.51   109.35    79.61   105.36   110.46   118.15   118.71   125.58   141.57   145.68   144.66   142.77   142.87   141.55   142.33   141.73   138.60     -999   323.78   311.61   306.84   311.48   315.99   310.11   310.14   326.68   105.25   312.82   314.70   235.93   310.70   302.76   214.23   325.92   321.61   303.67   318.36   249.98     0.00     0.00     0.00     0.00     9.38     0.00     0.00     0.00     2.63     0.00     0.00    75.62    14.84     8.14   100.45     0.00     0.00    16.31     0.00    72.49   5865.8  3414130    285.7    52987   5087.4    667716
         870       5/20/2000                 96.54   122.89   102.95    98.83   116.00   116.86   106.38   103.97    49.44   100.35   125.89   122.32   126.31   109.19    79.34   104.39   109.64   118.26   118.10   124.93   140.94   145.54   145.42   142.59   142.15   140.97   141.39   141.19   139.54   139.27   316.87   320.73   322.23   311.73   310.55   325.21   319.56   315.18    89.26   325.66   313.80   236.27   302.06   306.11   207.80   325.79   320.08   287.39   317.30   248.77     0.00     0.00     0.00     0.00     2.98     0.00     0.00     0.00     2.35     0.00     0.00    85.29    16.28    20.93    99.92     0.00     0.00    30.72     0.00    70.12   5832.6  3589110    299.9    61982   5723.3    839414
         900       6/19/2000                 95.65   124.61   102.56    97.48   115.98   117.50   105.91   102.78    50.00   100.81   125.70   122.98   125.91   108.39    79.84   104.21   109.72   117.60   117.64   124.50   141.32   145.23   144.38   142.34   142.83   140.84   141.85   141.81   139.60   139.37   314.66   315.53   317.58   319.57   309.98   312.63   317.17   321.62    86.66   324.59   319.12   211.95   300.22   303.70   191.51   319.16   316.07   283.70   322.16   240.81     0.00     0.00     0.00     0.00    10.65     0.00     0.00     0.00     1.33     0.00     0.00   104.78    24.35    15.05   120.49     0.00     0.00    36.05     0.00    83.97   5822.4  3763780    328.6    71840   6359.2   1030190
         930       7/19/2000                 94.00   124.57   102.22    96.71   115.86   116.56   105.27   102.39    49.45   100.71   126.22   123.83   126.04   108.89    78.32   102.90   109.12   117.71   117.58   124.17   140.75   144.58   145.03   142.36   143.14   140.49   141.76   141.40   140.82   140.68   307.03   323.65   323.47   323.02   304.32   314.65   324.60   322.07    96.47   313.08   324.07   214.37   292.78   303.23   187.31   318.83   312.54   281.93   315.50   226.81     0.00     0.00     0.00     0.00    14.57     0.00     0.00     0.00     0.65     0.00     0.00   107.36    28.17    15.32   133.86     0.00     0.00    38.03     0.00    85.71   5748.4  3936230    396.7    83740   6359.2   1220970
         961       8/19/2000                 94.36   123.92   100.56    95.54   115.46   116.08   105.30   102.08    49.73   101.71   126.65   124.07   129.37   108.16    77.83   101.11   109.05   117.28   117.96   123.48   140.86   145.36   144.45   142.84   142.13   141.68   141.49   142.60   140.93   140.42   324.90   316.32   320.04   321.11   301.58   316.44   312.41   329.29   102.11   310.35   326.18   195.38   303.79   299.56   178.89   326.72   314.93   274.00   319.11   228.68     0.00     0.00     0.00     0.00    24.10     0.00     0.00     0.00     4.08     0.00     0.00   115.67    20.44    19.63   132.95     0.00     0.00    47.11     0.00    94.90   5729.7  4113850    423.7    96874   6359.2   1418100
         991       9/18/2000                 93.75   124.22   101.99    95.99   114.41   116.77   105.01   102.10    50.34   101.46   127.61   124.06   126.51   109.10    78.55   100.75   108.78   117.84   116.67   123.71   141.20   145.02   144.06   142.67   142.78   141.83   143.47   142.46   141.36   140.66   319.04   313.02   315.75   321.06   301.63   312.97   327.47   318.60    89.41   321.44   324.25   194.73   285.91   300.93   171.26   320.84   318.00   269.85   326.63   225.74     0.00     0.00     0.00     0.00    16.53     0.00     0.00     0.00    13.43     0.00     0.00   120.92    22.71    24.15   141.05     0.00     0.00    49.17     0.00    95.68   5721.8  4285510    458.9   110640   6359.2   1608880
        1021       10/18/2000                93.60   125.02   100.60    94.85   115.29   116.28   104.28   100.18    49.74   101.62   126.85   125.69   126.46   108.86    77.58   100.64   108.34   117.19   117.57   124.67   142.54   144.27   145.05   142.18   143.44   141.49   142.55   143.87   141.13   140.81   322.04   316.20   318.76   311.37   296.88   319.40   319.73   324.91    85.66   314.68   311.24   196.93   290.20   294.33   163.64   321.16   319.70   263.07   323.30   211.42     0.00     0.00     0.00     0.00    17.14     0.00     0.00     0.00     5.82     0.00     0.00   117.44    34.44    20.27   150.63     0.00     0.00    50.61     0.00   104.11   5678.5  4455860    483.6   125149   6359.2   1799650
        1052       11/18/2000                92.22   124.14   101.15    94.78   114.15   114.77   104.65   100.89    49.81   101.75   127.89   124.84   127.05   107.43    78.34   100.38   107.98   117.07   117.31   124.93   140.97   145.66   145.63   142.59   142.85   141.10   143.51   143.19   140.57   141.60   320.76   304.73   317.35   322.69   288.73   317.76   321.44   324.35    88.69   317.15   320.06   189.75   286.07   290.07   154.90   324.20   322.42   254.54   320.99   211.02     0.00     0.00     0.00     0.00    18.87     0.00     0.00     0.00     9.01     0.00     0.00   129.70    39.12    22.69   158.93     0.00     0.00    52.71     0.00   114.88   5624.6  4630220    500.5   140664   6359.2   1996790
        1082       12/18/2000                91.97   125.88    99.66    94.64   114.33   116.28   103.14   101.02    50.79   102.53   127.51   124.99   127.88   107.30    79.62   100.56   107.54   115.96   117.38   125.36   141.40   145.01   143.98   143.64   142.99   142.02   142.69   142.97   141.48   142.08   321.38   318.79   314.49   326.20   296.10   327.83   315.77   323.09    90.22   320.80   319.08   185.92   280.85   292.45   154.38   321.11   318.80   249.02   327.81   202.16     0.00     0.00     0.00     0.00    27.56     0.00     0.00     0.00     5.69     0.00     0.00   137.38    24.76    26.86   170.04     0.00     0.00    65.04     0.00   121.64   5597.7  4798150    545.9   157041   6359.2   2187570
        1113       1/18/2001                 91.21   125.33    99.66    92.45   114.39   117.28   104.44   100.24    49.96   101.95   126.96   125.05   128.20   106.24    79.47   100.91   106.94   116.54   117.12   124.42   141.36   144.94   144.86   143.94   143.33   141.55   144.21   143.77   141.12   141.20   320.99   321.43   311.80   320.66   288.13   319.82   317.85   317.60   100.90   309.47   306.86   180.36   281.88   287.54   143.58   316.53   325.55   249.73   317.60   201.38     0.00     0.00     0.00     0.00    39.15     0.00     0.00     0.00    12.22     0.00     0.00   137.52    42.06    30.11   170.04     0.00     0.00    66.67     0.00   115.99   5606.3  4971950    579.0   174989   6359.2   2384700
        1143       2/17/2001                 92.19   126.32    98.64    94.34   114.00   117.59   103.90   100.05    49.95   102.00   127.93   124.74   127.17   107.23    79.39    99.85   107.18   117.16   116.89   124.63   142.16   144.97   145.06   143.28   143.56   142.16   143.25   143.62   141.87   141.50   310.47   323.32   324.23   318.34   284.22   320.15   318.95   310.73    87.05   315.32   318.91   169.97   276.94   285.81   142.45   325.66   309.74   243.18   318.77   182.27     0.00     0.00     0.00     0.00    39.23     0.00     0.00     0.00     8.29     0.00     0.00   136.51    36.86    26.80   182.81     0.00     0.00    74.96     0.00   124.11   5539.7  5138140    613.8   193402   6359.2   2575480
        1174       3/20/2001                 91.40   125.60   100.05    93.84   112.82   115.89   104.40   100.18    49.61   101.57   127.88   124.69   129.60   105.72    80.34    99.52   107.60   117.08   116.97   125.51   141.20   145.04   145.53   143.06   143.75   143.02   142.80   142.83   141.99   141.96   312.18   316.30   326.18   319.07   275.97   314.77   314.66   320.45    92.23   306.84   323.26   162.06   278.02   275.71   134.70   314.65   306.94   231.96   322.76   184.83     0.00     0.00     0.00     0.00    42.10     0.00     0.00     0.00    11.07     0.00     0.00   151.85    38.69    39.00   190.88     0.00     0.00    84.88     0.00   130.89   5486.5  5308220    629.6   212919   6359.2   2772610
        1204       4/19/2001                 91.23   125.94    98.59    93.84   112.92   116.55   104.53    99.83    49.85   100.85   127.39   126.39   128.77   106.31    80.88    99.13   106.65   117.46   117.11   126.62   141.99   145.08   145.64   143.26   142.61   142.50   143.25   143.82   142.33   142.45   320.61   317.87   315.73   327.07   276.15   325.48   318.88   324.05    95.27   323.41   327.57   156.39   269.68   281.86   119.39   317.02   319.68   226.12   323.87   174.44     0.00     0.00     0.00     0.00    41.09     0.00     0.00     0.00     5.25     0.00     0.00   157.31    46.37    51.45   182.01     0.00     0.00    87.70     0.00   138.00   5433.5  5471230    689.4   233599   6359.2   2963390
        1234       5/19/2001                 91.90   125.84    99.08    93.34   112.63   117.42   103.39    99.09    49.65   100.02   128.07   125.55   128.70   106.38    81.63    99.67   107.04   117.01   118.32   124.74   141.84   145.84   145.26   143.38   142.99   140.95   143.94   142.78   142.76   141.46   321.20   310.13   319.98   317.61   268.81   323.21   314.49   318.26   103.35   319.01   314.48   151.32   271.83   268.02   129.85   323.01   314.03   226.99   314.69   182.57     0.00     0.00     0.00     0.00    50.19     0.00     0.00     0.00     7.26     0.00     0.00   165.35    53.00    45.64   198.90     0.00     0.00   101.69     0.00   147.46   5460.5  5635040    709.2   254875   6359.2   3154160
